id,date,item_id,sales_qty
1,2020-06-01 00:00:00,20131,1
2,2020-06-01 00:00:00,20131,1
3,2020-06-01 00:00:00,18954,1
4,2020-06-01 00:00:00,20209,1
5,2020-06-01 00:00:00,13027,1
6,2020-06-01 00:00:00,30511,1
7,2020-06-01 00:00:00,3320,1
8,2020-06-01 00:00:00,22963,1
9,2020-06-01 00:00:00,30511,2
10,2020-06-01 00:00:00,1782,1
11,2020-06-01 00:00:00,4832,1
12,2020-06-01 00:00:00,21146,1
13,2020-06-01 00:00:00,1782,1
14,2020-06-01 00:00:00,23582,1
15,2020-06-01 00:00:00,30511,1
16,2020-06-01 00:00:00,395,1
17,2020-06-01 00:00:00,1782,1
18,2020-06-01 00:00:00,18630,1
19,2020-06-01 00:00:00,2761,1
20,2020-06-01 00:00:00,16972,1
21,2020-06-01 00:00:00,23050,3
22,2020-06-01 00:00:00,13675,1
23,2020-06-01 00:00:00,12528,1
24,2020-06-01 00:00:00,11251,1
25,2020-06-01 00:00:00,18630,1
26,2020-06-01 00:00:00,18630,1
27,2020-06-01 00:00:00,1782,1
28,2020-06-01 00:00:00,18630,1
29,2020-06-01 00:00:00,30511,1
30,2020-06-01 00:00:00,16162,1
31,2020-06-01 00:00:00,2517,1
32,2020-06-01 00:00:00,23050,1
33,2020-06-01 00:00:00,21146,1
34,2020-06-01 00:00:00,28140,2
35,2020-06-01 00:00:00,19768,3
36,2020-06-01 00:00:00,30511,1
37,2020-06-01 00:00:00,21690,1
38,2020-06-01 00:00:00,22963,1
39,2020-06-01 00:00:00,2517,1
40,2020-06-01 00:00:00,31849,2
41,2020-06-01 00:00:00,16162,1
42,2020-06-01 00:00:00,19267,1
43,2020-06-01 00:00:00,12773,1
44,2020-06-01 00:00:00,18630,1
45,2020-06-01 00:00:00,23148,1
46,2020-06-01 00:00:00,19768,2
47,2020-06-01 00:00:00,1782,2
48,2020-06-01 00:00:00,22987,1
49,2020-06-01 00:00:00,26503,1
50,2020-06-01 00:00:00,11251,2
51,2020-06-01 00:00:00,4091,7
52,2020-06-01 00:00:00,1782,1
53,2020-06-01 00:00:00,4832,1
54,2020-06-01 00:00:00,30712,2
55,2020-06-01 00:00:00,1732,1
56,2020-06-01 00:00:00,2692,1
57,2020-06-01 00:00:00,12528,1
58,2020-06-01 00:00:00,21146,1
59,2020-06-01 00:00:00,21146,1
60,2020-06-01 00:00:00,6112,4
61,2020-06-01 00:00:00,17089,1
62,2020-06-01 00:00:00,24763,1
63,2020-06-01 00:00:00,13675,1
64,2020-06-01 00:00:00,21690,1
65,2020-06-01 00:00:00,4091,3
66,2020-06-01 00:00:00,23582,2
67,2020-06-01 00:00:00,18630,1
68,2020-06-01 00:00:00,23148,1
69,2020-06-01 00:00:00,11251,4
70,2020-06-01 00:00:00,19281,2
71,2020-06-01 00:00:00,1782,1
72,2020-06-01 00:00:00,12773,1
73,2020-06-01 00:00:00,29657,2
74,2020-06-01 00:00:00,11199,1
75,2020-06-01 00:00:00,30511,1
76,2020-06-01 00:00:00,31702,3
77,2020-06-01 00:00:00,31849,1
78,2020-06-01 00:00:00,27179,1
79,2020-06-01 00:00:00,395,4
80,2020-06-01 00:00:00,11251,1
81,2020-06-01 00:00:00,12528,1
82,2020-06-01 00:00:00,18630,1
83,2020-06-01 00:00:00,18630,2
84,2020-06-01 00:00:00,11188,4
85,2020-06-01 00:00:00,20131,2
86,2020-06-01 00:00:00,29657,3
87,2020-06-01 00:00:00,4832,1
88,2020-06-01 00:00:00,12964,1
89,2020-06-01 00:00:00,17089,1
90,2020-06-01 00:00:00,20131,1
91,2020-06-01 00:00:00,16972,1
92,2020-06-01 00:00:00,30511,1
93,2020-06-01 00:00:00,13459,1
94,2020-06-01 00:00:00,17089,1
95,2020-06-01 00:00:00,20131,1
96,2020-06-01 00:00:00,1782,1
97,2020-06-01 00:00:00,22963,1
98,2020-06-01 00:00:00,1970,1
99,2020-06-01 00:00:00,18630,2
100,2020-06-01 00:00:00,637,1
101,2020-06-01 00:00:00,12528,1
102,2020-06-01 00:00:00,1970,1
103,2020-06-01 00:00:00,23582,2
104,2020-06-01 00:00:00,20131,1
105,2020-06-01 00:00:00,3039,1
106,2020-06-01 00:00:00,31812,3
107,2020-06-01 00:00:00,24299,1
108,2020-06-01 00:00:00,20131,1
109,2020-06-01 00:00:00,16972,1
110,2020-06-01 00:00:00,23582,1
111,2020-06-01 00:00:00,22963,3
112,2020-06-01 00:00:00,29657,2
113,2020-06-01 00:00:00,17419,1
114,2020-06-01 00:00:00,395,1
115,2020-06-01 00:00:00,24763,1
116,2020-06-01 00:00:00,22963,1
117,2020-06-01 00:00:00,29151,1
118,2020-06-01 00:00:00,10961,3
119,2020-06-01 00:00:00,11251,3
120,2020-06-01 00:00:00,20131,2
121,2020-06-01 00:00:00,29657,5
122,2020-06-01 00:00:00,3320,1
123,2020-06-01 00:00:00,19267,4
124,2020-06-01 00:00:00,23050,5
125,2020-06-01 00:00:00,395,1
126,2020-06-01 00:00:00,19267,4
127,2020-06-01 00:00:00,24763,1
128,2020-06-01 00:00:00,20131,2
129,2020-06-01 00:00:00,26503,1
130,2020-06-01 00:00:00,20131,1
131,2020-06-01 00:00:00,29657,3
132,2020-06-01 00:00:00,20150,4
133,2020-06-01 00:00:00,17419,1
134,2020-06-01 00:00:00,23050,1
135,2020-06-01 00:00:00,2627,1
136,2020-06-01 00:00:00,31812,2
137,2020-06-01 00:00:00,18630,1
138,2020-06-01 00:00:00,31683,2
139,2020-06-01 00:00:00,1970,1
140,2020-06-01 00:00:00,23582,5
141,2020-06-01 00:00:00,31073,1
142,2020-06-01 00:00:00,14005,2
143,2020-06-01 00:00:00,28137,1
144,2020-06-01 00:00:00,8705,1
145,2020-06-01 00:00:00,3320,1
146,2020-06-01 00:00:00,18630,1
